['d', 'n', 'c', 'r', 'j', '2', 'f', 'g']
['6', '1', 'w', 'm', 'd', '5', 'm', '5']
['a', 'q', 's', '6', '2', 'w', 'r', 'd']
['9', 'z', 'e', 't', 'q', 'f', 'l', '8']
['4', 'q', 'p', '2', '9', 'u', 'i', 'l']
['9', 'i', 'r', '4', 'm', 'i', 'q', 'k']
['2', 'k', '0', '1', '0', '1', '0', '1']
['d', 'e', 'm', 'k', 'd', '4', '7', '3']
['4', 'k', 'i', '5', 'a', '5', '0', '2']
['z', 'l', '9', '4', 's', 'r', '2', '1']
['x', '3', '2', '3', 'q', '6', 's', 'f']
['r', 'd', '6', '3', 'q', 'l', 'm', '5']
['y', 'b', 'v', 'h', 'a', '3', 'f', 'k']
['g', 'j', 'n', '8', 'u', '3', 'k', '4']
['6', 'n', 'a', 'j', 'm', 'k', 's', 'c']
['i', 't', '2', '4', 'x', 'i', '6', 'o']
['0', '1', '0', '1', '0', '2', 'e', '0']
['0', 'd', '6', 'y', 'b', 'z', '2', '5']
['f', '1', 'd', '1', '6', 'q', 'b', '2']
['c', '5', '2', 'g', 'q', 'a', 'w', 'h']
['o', 'g', 's', '0', 'w', 's', '8', 'f']
['1', '4', 'y', '2', '9', 'n', 'e', 'l']
['v', 'e', '3', 't', '2', 'f', 'c', '1']
['5', 'd', '6', '2', 'u', '0', 'v', 'q']
['5', 'q', 'd', 'q', 'd', 'o', 'c', 'd']
['7', '2', 'n', 'z', 'd', 'n', '7', 'q']
['5', '1', 'q', 'k', '6', 'o', 'l', '6']
['i', 's', 'i', 'u', 'r', 'l', 'y', 't']
['5', '2', '0', '6', 't', 'h', 'r', 'u']
['q', 'h', '1', 'x', 'e', 'q', '0', 'r']
['e', 't', 'n', '0', 'm', 'z', 'g', '2']
['o', 'p', 'q', 'r', 'v', '1', '7', '8']
['l', 'e', '3', 'a', '5', '0', 'a', 'w']
['0', '2', '9', '0', '1', '0', '2', 'p']
['a', '0', '1', '0', '2', 'i', '0', '1']
['k', 's', 'r', '7', 'n', 'j', 'u', 'a']
['6', '3', 'b', 'v', 'g', 'k', 'e', 'w']
['0', '2', '6', '0', '1', '0', '1', '0']
['g', 'd', 'x', 'g', 'c', 'x', 'c', 'd']
['f', '7', 'u', '0', 'q', 'j', 'u', 'n']
['0', 'c', 'm', 'v', '7', 'e', '2', 'n']
['8', 'y', '0', 'w', 'k', 'n', 'c', 'k']
['0', 'e', 'a', 'm', '9', 'r', '0', 'r']
['p', 'y', 'p', 'u', 'b', 'e', 'x', 'd']
['b', '6', 's', '2', 'k', '8', 'l', 'f']
['q', 'u', 'h', '9', 'n', 'v', '7', 's']
['d', '6', '3', 'q', '5', '2', 'a', 'c']
['0', '1', '0', '2', '7', '0', '2', '0']
['t', '4', 'u', '4', '8', 'o', 't', '9']
['0', 'i', 'p', 'n', 'l', 'c', 'q', 'k']
